course_id,title,description,category,level,duration,rating,instructor,tags,url
1,Coding a ChatGPT-style Language Model from Scratch in PyTorch,"Learn to build your own language model with PyTorch step-by-step. Master the art of building a ChatGPT-style language model from scratch with PyTorch. In this course, you'll explore essential NLP concepts, implement transformers, and create a decoder-only architecture step-by-step.Guided by expert tutorials, gain practical skills to develop advanced AI models tailored for real-world applications.",Generative AI,Beginner,1 hour,4.5,"Dr. Joshua Starmer, Co-Founder and CEO of Statsquest",Gen AI,https://courses.analyticsvidhya.com/courses/coding-a-chatgpt-style-language-model-from-scratch-in-pytorch
2,Mastering Multilingual GenAI Open-Weights for Indic Languages,"Unlock the power of open-weight models to build cutting-edge multilingual AI solutions for Indic languages.Mastering Multilingual GenAI – Open-Weights for Indic Languagesis a course designed to equip you with the knowledge to develop state-of-the-art multilingual AI models using open-weight architectures.Focusing on low-resource languages, particularly Indic languages, the course covers essential topics like multilingual AI training, instruction fine-tuning, model building, and performance evaluation.",AI and Machine Learning,Beginner,1 hour,4.7,"Viraat Aryabumi,Research Scholar at Cohere for AI","Machine Learning, NLP",https://courses.analyticsvidhya.com/courses/mastering-multilingual-genai-open-weights-for-indic-languages
3,Learning Autonomous Driving Behaviors with LLMs & RL,"Learn to train autonomous driving agents using Reinforcement Learning (RL) and Large Language Models (LLMs).This course dives into the development of autonomous driving behaviors using Reinforcement Learning (RL) and Large Language Models (LLMs).You’ll explore how RL agents are trained to navigate complex, real-world environments while making safe, human-like driving decisions.The course tackles key challenges such as designing effective reward systems, ensuring safety in high-speed driving scenarios, and improvingthe interpretability of AI decisions. Through practical projects, you will design RL agents using techniques like Deep Q-Networks (DQN)experience replay, and integrate LLMs to enhance decision-making.","Reinforcement learning, AI, Gen AI",Intermediate,1 hour,4.7,"Mayank Baranwal,Senior Scientist at TCS Research | Adjunct Professor at IITB | INAE Young Associate | UIUC | IITK","DL, RL, LLM",https://courses.analyticsvidhya.com/courses/learning-autonomous-driving-behaviors-with-llms-and-rl
4,GenAI Applied to Quantitative Finance: For Control Implementation,"Understand quantitative finance with GenAI. Learn to implement AI-driven control systems for trading, risk management, and predictive modeling.This course explores the application of Generative AI in quantitative finance, focusing on building sustainable trading algorithms through keywordextraction, sentiment analysis, and time-series forecasting. Learn to predict commodity prices, such as gold, by integrating data from financial news sources,leveraging sentiment analysis, and optimizing models for robust trading signals.",Gen AI,Intermediate,1 hour,4.7,"Sidharth Kumar,Principal Data Scientist at Intuit","Deep Learning, Python, GenAI",https://courses.analyticsvidhya.com/courses/genai-applied-to-quantitative-finance-for-control-implementation
5,"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy","Master the art of optimizing LLMs with practical techniques to achieve the best balance of performance and cost.This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs.You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions.",GenAI,Beginner,1 hour,4.8,"Kartik Nighania,MLOps Engineer at Typewise|Certified AWS Cloud and Kubernetes Engineer","Deep Learning, GenAI, LLM",https://courses.analyticsvidhya.com/courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy
6,Creating Problem-Solving Agents using GenAI for Action Composition,"Discover how Generative AI is revolutionizing Agentic AI systems to solve complex real-world problems.This introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications.You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action.",GenAI,Beginner,1 hour,4.7,"Vikas Agrawal, Senior Principal Data Scientist at Oracle Analytics Cloud","GenAI, Python, Data Science",https://courses.analyticsvidhya.com/courses/creating-problem-solving-agents-using-genai-for-action-composition
7,Improving Real World RAG Systems: Key Challenges & Practical Solutions,"Explore practical solutions, advanced retrieval strategies, and agentic RAG systems to improve context, relevance, and accuracy.This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions.Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance usingadvanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications.","Retrieval Augmented Generation, Gen AI",Beginner,1 hour,4.8,"Dipanjan Sarkar, Head of Community and Principal AI Scientist, Analytics Vidhya","GenAI, Python, AI, ML",https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges
8,Framework to Choose the Right LLM for your Business,"This course provides a comprehensive framework for selecting the right LLM for your business needs.This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy.Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions.","Gen AI, Business",Beginner,1 hour,4.7,"Rohan Rao,Principal Data Scientist, H2O.ai; Quadruple Kaggle Grandmaster","Gen AI, Business, AI",https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business
9,Building Your First Computer Vision Model - Free Course,"Start your Computer Vision journey with a hands-on course that introduces image data analysis and model building.This course will help you gain a deep understanding of Computer Vision and build advanced CV models using the PyTorch framework.With a carefully curated list of resources and exercises, this course is your guide to becoming a Computer Vision expert. Master the techniques to build convolutional neural networks, and classify images.","Deep Learning, Computer Vision",Beginner,34 min,4.6,"Apoorv Vishnoi,Training Vertical, Analytics Vidhya","Data, Analysis, Python, Deep Learning",https://courses.analyticsvidhya.com/courses/building-your-first-computer-vision-model
10,Introduction to Business Analytics,Business analytics is thriving – and so is its role in forward-thinking organizations around the world. The demand for business analytics professionals is growing multifold - and now is the time to start working towards your desired career.,Business,Beginner,1 hour,4.6,"Kunal Jain, Founder & CEO, Analytics Vidhya",Business,https://courses.analyticsvidhya.com/courses/introduction-to-analytics
11,Exploring Stability.AI - Free Course,"Explore Stability.AI with this free course providing hands-on experience. Learn to deploy SD WebUI, use Automatic WebUI on RunPod GPUenvironments, and master installation, setup, generation, and customization of SD.This course will give you a practical understanding ofStability.AI tools. By the end of the course, you will be able to deploy and customize SD WebUI, and use the Automatic1111 WebUI on RunPod GPU environments. You'll learn to install, set up, generate, and fine-tune SD WebUI settings, equipping you with the skills to harness Stability.AI's full potential for your projects.","Stability AI, Python",Beginner,1 hour,4.5,"Sandeep Singh, Expert Senior Director, Bain & Company",Python,https://courses.analyticsvidhya.com/courses/exploring-stability-ai
12,Building a Text Classification Model with Natural Language Processing - Free Course,"Explore the essentials of NLP with our comprehensive course! Learn text classification, NLP models with PyTorch, and real-world applications.Perfect for beginners and professionals alike, dive into AI-driven text analysis and hands-on projects.Gain practical insights into Natural Language Processing (NLP) with our comprehensive course. Learn to build NLP models using PyTorch, delve into classification models, and apply techniques like bag-of-words, count vectorizer and so on.Perfect for professionals seeking to enhance their skills and aspiring students entering the tech industry.",NLP,Intermediate,1 hour 10 min,4.7,"Apoorv Vishnoi, Training Vertical, Analytics Vidhya",Text classification model,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing
